teff,logg,Y,f_rain,kzz,FeH,CO,f_hole
600,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
600,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
600,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
600,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
600,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
600,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
600,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
600,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
600,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
600,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
600,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
600,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
600,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
650,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
650,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
650,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
650,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
650,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
650,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
650,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
650,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
650,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
650,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
650,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
650,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
650,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
650,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
650,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
650,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
650,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
650,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
650,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
650,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
650,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
700,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
700,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
700,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
700,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
700,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
700,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
700,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
700,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
700,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
700,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
700,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
700,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
700,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
700,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
700,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
700,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
700,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
700,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
700,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
700,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
700,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
750,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
750,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
750,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
750,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
750,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
750,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
750,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
750,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
750,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
750,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
750,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
750,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
750,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
750,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
750,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
750,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
750,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
750,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
750,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
750,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
750,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
800,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
800,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
800,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
800,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
800,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
